SEGMENT_NAME,SUBSCRIPTION_ACCOUNT_ID,EFFECTIVE_SUBSCRIPTION_ACCOUNT_ID,SFDC_ACCOUNT_ID,SFDC_ACCOUNT_NAME,REPORT_AS_OF_DT,REPORT_MONTH,BUYING_PROGRAM,LATEST_BUYING_PROGRAM,EFFECTIVE_ACR,IS_CONTRACT_FLAG,LATEST_EFFECTIVE_ACR,BCM,INDUSTRY,SALES_HIER_GEO,MULTIYEAR_FLAG,SEGMENT_NAME,USER_ACTIVATION_PERCENTAGE,PRODUCT_STICKINESS_RATIO,USER_STICKINESS_RATIO,PRODUCT_UTILIZATION_RATE,ENGAGEMENT_SCORE,OPEN_TICKETS,AVG_CSAT_SCORE,PCT_P1_CASES,PCT_P1P2_CASES,RESOLUTION_RATE,CHURN_RISK_SCORE,SENTIMENT_SCORE,RENEWAL_URGENCY_MONTHS,MTHLY_FTTR_50,REVENUE_GROWTH,OVERAGE_SCORE,CONTRACT_LENGTH_SCORE,PCT_M_PLUS_6_BCM,PCT_M_PLUS_3_BCM,PCT_M_PLUS_12_BCM
Early Savings Plan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.8,0.0,5.6000000000000005,0.0,18.4,22.400000000000002,0.0,0.0,24.8,66.4,95.19999999999999,77.60000000000001,77.60000000000001,66.4,76.0,24.8,100.0,66.4,22.400000000000002,100.0,0.0,0.0,0.0,0.0
Early Volume Plan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.672131147540984,0.0,1.639344262295082,0.0,17.704918032786885,22.950819672131146,0.0,0.0,14.098360655737704,73.44262295081967,97.70491803278688,87.21311475409837,87.21311475409837,73.44262295081967,70.16393442622952,14.098360655737704,100.0,73.44262295081967,19.01639344262295,81.31147540983606,0.9836065573770493,0.0,0.0,0.0
Late Savings Plan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24750618765469137,0.0,0.4850121253031326,0.0,10.980274506862672,44.068601715042874,0.0,15.362884072101801,71.30428260706518,62.9740743518588,96.09740243506087,80.19450486262156,80.19450486262156,62.9740743518588,84.25460636515912,71.30428260706518,99.6599914997875,63.45158628965725,3.6125903147578686,94.01735043376085,5.527638190954774,0.0,0.0,0.0
Late Volume Plan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7355267586671153,0.0,0.8940592393133625,0.0,10.406849545607539,45.76110737125547,0.0,15.939498485358467,70.60964321777179,84.53382699427802,98.6936216762033,93.90777515987882,93.90777515987882,84.53382699427802,84.95666442275328,70.60964321777179,99.78963312016155,84.74840121171323,3.7403231235274315,68.55856613934702,11.456580276001347,0.0,0.0,0.0
PAYG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.184483811850947,0.0,4.459376908979841,0.0,37.263286499694566,56.4752596212584,0.0,20.006108735491754,88.08796579108125,93.12767257177764,99.54184483811851,97.89248625534515,97.89248625534515,93.12767257177764,93.03604153940135,88.08796579108125,99.60293219303604,93.1582162492364,4.489920586438608,99.51130116065976,82.16249236408063,0.0,0.0,0.0
